Tanggal;Nama Produk ;Jumlah Terjual;Harga Satuan;Cabang Penjualan
11/02/2025;Dancow;16; Rp100.000 ;Medan
17/09/2025;;18; Rp80.000 ;Medan
18/09/2025;Dancow;19; Rp100.000 ;Medan
19/09/2025;Cimory;182; Rp90.000 ;Medan
20/02/2025;Dancow;182; Rp100.000 ;Medan
21/09/2025;Dancow;27; Rp100.000 ;Medan
22/01/2025;Cimory;18; Rp90.000 ;Medan
23/06/2025;Cimory;2; Rp90.000 ;Medan
24/09/2025;Cimory;10; Rp90.000 ;Medan
;Dancow;2; Rp100.000 ;Medan
26/09/2025;Dancow;39; Rp100.000 ;Medan
27/04/2025;Dancow;3; Rp100.000 ;Medan
28/09/2025;Cimory;5; Rp90.000 ;Medan
29/10/2025;Dancow;6; Rp100.000 ;Medan
30/09/2025;Milo;16; Rp80.000 ;Medan
01/10/2025;Dancow;35; Rp100.000 ;Medan
02/12/2025;Milo;3; Rp80.000 ;Medan
03/11/2025;Dancow;; Rp100.000 ;Medan
04/11/2025;Dancow;16; Rp100.000 ;Medan
